name,start_time,finish_time,duration,current_host,current_host_uuid,compromise_host,compromise_host_uuid,current_host_attempt,cumulative_attempts,cumulative_compromised_hosts,compromise_users,interrupted_in,interrupted_by
SCAN_NEIGHBOR,2165.2090798254258,2175.2090798254258,10.0,3,aebe5f4b-cf10-49c0-85b5-5ea8f0d42612,None,None,2,44,1,[],None,None
ENUM_HOST,2175.2090798254258,2190.2090798254258,15.0,3,aebe5f4b-cf10-49c0-85b5-5ea8f0d42612,None,None,2,44,1,[],None,None
SCAN_PORT,2190.2090798254258,2210.2090798254258,20.0,57,e712b818-4d10-42cf-baec-51b848113b8b,None,None,1,44,1,[],None,None
EXPLOIT_VULN,2210.2090798254258,2226.0932964260187,15.884216600592936,57,e712b818-4d10-42cf-baec-51b848113b8b,None,None,1,44,1,[],application,PortShuffle
SCAN_PORT,2228.0932964260187,2248.0932964260187,20.0,57,e712b818-4d10-42cf-baec-51b848113b8b,None,None,1,44,1,[],None,None
EXPLOIT_VULN,2248.0932964260187,2274.075136099582,25.981839673563172,57,e712b818-4d10-42cf-baec-51b848113b8b,None,None,1,44,1,[],None,None
BRUTE_FORCE,2274.075136099582,2285.556466965387,11.481330865804921,57,e712b818-4d10-42cf-baec-51b848113b8b,None,None,1,59,1,[],application,PortShuffle
SCAN_PORT,2287.556466965387,2307.556466965387,20.0,57,e712b818-4d10-42cf-baec-51b848113b8b,None,None,1,59,1,[],None,None
EXPLOIT_VULN,2307.556466965387,2326.031842128127,18.47537516274042,57,e712b818-4d10-42cf-baec-51b848113b8b,None,None,1,59,1,[],network,IPShuffle
SCAN_HOST,2328.031842128127,2338.031842128127,10.0,-1,-1,None,None,0,59,1,[],None,None
ENUM_HOST,2338.031842128127,2353.031842128127,15.0,-1,-1,None,None,0,59,1,[],None,None
SCAN_PORT,2353.031842128127,2373.031842128127,20.0,32,74738bb3-07a9-44d4-b643-2a58a2c12e00,None,None,1,59,1,[],None,None
EXPLOIT_VULN,2373.031842128127,2391.221577299314,18.18973517118684,32,74738bb3-07a9-44d4-b643-2a58a2c12e00,None,None,1,59,1,[],network,HostTopologyShuffle
SCAN_HOST,2393.221577299314,2403.221577299314,10.0,-1,-1,None,None,0,59,1,[],None,None
ENUM_HOST,2403.221577299314,2418.221577299314,15.0,-1,-1,None,None,0,59,1,[],None,None
SCAN_PORT,2418.221577299314,2438.221577299314,20.0,54,976d0863-3a37-45a5-893c-8aa6a8b9b83e,None,None,1,59,1,[],None,None
EXPLOIT_VULN,2438.221577299314,2448.7153845047283,10.493807205414214,54,976d0863-3a37-45a5-893c-8aa6a8b9b83e,None,None,1,59,1,[],application,ServiceDiversity
SCAN_PORT,2450.7153845047283,2470.7153845047283,20.0,54,976d0863-3a37-45a5-893c-8aa6a8b9b83e,None,None,1,59,1,[],None,None
EXPLOIT_VULN,2470.7153845047283,2496.355241164559,25.63985665983091,54,976d0863-3a37-45a5-893c-8aa6a8b9b83e,None,None,1,59,1,[],None,None
BRUTE_FORCE,2496.355241164559,2508.795015786527,12.4397746219679,54,976d0863-3a37-45a5-893c-8aa6a8b9b83e,None,None,1,61,1,[],application,ServiceDiversity
SCAN_PORT,2510.795015786527,2530.795015786527,20.0,54,976d0863-3a37-45a5-893c-8aa6a8b9b83e,None,None,1,61,1,[],None,None
EXPLOIT_VULN,2530.795015786527,2557.251921106177,26.456905319650105,54,976d0863-3a37-45a5-893c-8aa6a8b9b83e,None,None,1,61,1,[],None,None
BRUTE_FORCE,2557.251921106177,2560.5915109959255,3.3395898897483676,54,976d0863-3a37-45a5-893c-8aa6a8b9b83e,None,None,1,65,1,[],application,PortShuffle
SCAN_PORT,2562.5915109959255,2582.5915109959255,20.0,54,976d0863-3a37-45a5-893c-8aa6a8b9b83e,None,None,1,65,1,[],None,None
EXPLOIT_VULN,2582.5915109959255,2606.322972819975,23.731461824049347,54,976d0863-3a37-45a5-893c-8aa6a8b9b83e,None,None,1,65,1,[],network,HostTopologyShuffle
SCAN_HOST,2608.322972819975,2618.322972819975,10.0,-1,-1,None,None,0,65,1,[],None,None
ENUM_HOST,2618.322972819975,2633.322972819975,15.0,-1,-1,None,None,0,65,1,[],None,None
SCAN_PORT,2633.322972819975,2653.322972819975,20.0,69,04d43660-ce8a-4ba6-86be-6f56f180d96f,None,None,1,65,1,[],None,None
EXPLOIT_VULN,2653.322972819975,2667.7033800877866,14.380407267811734,69,04d43660-ce8a-4ba6-86be-6f56f180d96f,None,None,1,65,1,[],network,HostTopologyShuffle
SCAN_HOST,2669.7033800877866,2679.7033800877866,10.0,-1,-1,None,None,0,65,1,[],None,None
ENUM_HOST,2679.7033800877866,2694.7033800877866,15.0,-1,-1,None,None,0,65,1,[],None,None
SCAN_PORT,2694.7033800877866,2714.7033800877866,20.0,23,62da93a2-e353-445d-8cc1-6788c26e32f7,None,None,1,65,1,[],None,None
EXPLOIT_VULN,2714.7033800877866,2729.8689653107517,15.165585222965092,23,62da93a2-e353-445d-8cc1-6788c26e32f7,None,None,1,65,1,[],network,HostTopologyShuffle
SCAN_HOST,2731.8689653107517,2741.8689653107517,10.0,-1,-1,None,None,0,65,1,[],None,None
ENUM_HOST,2741.8689653107517,2756.8689653107517,15.0,-1,-1,None,None,0,65,1,[],None,None
SCAN_PORT,2756.8689653107517,2776.8689653107517,20.0,54,5d1e6755-7608-4d68-b9b1-1bdce101d682,None,None,2,65,1,[],None,None
EXPLOIT_VULN,2776.8689653107517,2803.563829087592,26.694863776840066,54,5d1e6755-7608-4d68-b9b1-1bdce101d682,None,None,2,65,1,[],None,None
BRUTE_FORCE,2803.563829087592,2810.4609194849445,6.897090397352713,54,5d1e6755-7608-4d68-b9b1-1bdce101d682,None,None,2,81,1,[],application,OSDiversity
SCAN_PORT,2812.4609194849445,2832.4609194849445,20.0,54,5d1e6755-7608-4d68-b9b1-1bdce101d682,None,None,2,81,1,[],None,None
