Name,Time,MTD Interval,Mean Time to Compromise
IPShuffle,2996.906346703404,200,97.01078159760735
IPShuffle,3995.8751289378715,200,89.97723841016133
IPShuffle,4994.843911172339,200,84.71963777289884
IPShuffle,5993.812693406808,200,87.03977124230367
IPShuffle,6992.781475641275,200,92.9721150647141
IPShuffle,7991.750257875743,200,99.42350920777336
IPShuffle,8990.71904011021,200,107.02583099602398
IPShuffle,9989.687822344678,200,110.93757362272444
IPShuffle,998.2438075456739,300,94.28764138962462
IPShuffle,1996.4876150913478,300,93.90360534349063
IPShuffle,2994.7314226370218,300,110.34935358564503
IPShuffle,3992.9752301826957,300,114.65661725482525
IPShuffle,4991.21903772837,300,117.58600704421335
IPShuffle,5989.4628452740435,300,111.53796739958973
IPShuffle,6987.706652819717,300,103.846419121789
